prompt_id,category,type,title,model_name,run_number,open_weights,full_cot,max_tokens,total_score,criteria_met_count,criteria_total_count,success_rate,tokens_output,tokens_reasoning,tokens_completion,char_output,char_reasoning,char_completion,output_entropy,output_bzip2_length,output_bzip2_ratio,output_entropy_ratio,thinking_entropy,thinking_bzip2_length,thinking_bzip2_ratio,thinking_entropy_ratio
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.0,3,True,True,60000,1,1,1,1,937,930,1867,1835,3318,5153,4.87881,635,0.45228,0.60985,4.87413,2153,0.37646,0.60927
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.0,4,True,True,60000,1,1,1,1,802,1663,2465,1510,6070,7580,4.86073,723,0.39401,0.60759,4.8407,1301,0.3921,0.60509
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.0,5,True,True,60000,1,1,1,1,806,1787,2593,1570,6590,8160,4.84986,694,0.44204,0.60623,4.77923,2238,0.33961,0.5974
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.6,1,True,True,60000,1,1,1,1,888,3275,4163,1113,11928,13041,4.81817,564,0.50674,0.60227,4.7648,3639,0.30508,0.5956
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.6,2,True,True,60000,1,1,1,1,748,2950,3698,1635,10844,12479,4.81931,776,0.47462,0.60241,4.74835,3273,0.30183,0.59354
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.6,3,True,True,60000,1,1,1,1,984,1787,2771,1452,6536,7988,4.8659,605,0.41667,0.60824,4.79142,2314,0.35404,0.59893
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.6,4,True,True,60000,1,1,1,1,673,1347,2020,1361,4890,6251,4.8674,519,0.51285,0.60843,4.73272,2958,0.3113,0.59159
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.6,5,True,True,60000,1,1,1,1,695,2542,3237,1012,9502,10514,4.87155,565,0.41514,0.60894,4.80233,1813,0.37076,0.60029
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.3,1,True,True,60000,1,1,1,1,846,1959,2805,1380,7195,8575,4.88247,660,0.47826,0.61031,4.90147,2433,0.33815,0.61268
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.3,2,True,True,60000,1,1,1,1,1036,3346,4382,1418,12352,13770,4.8364,704,0.49647,0.60455,4.74153,3706,0.30003,0.59269
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.3,3,True,True,60000,1,1,1,1,637,1621,2258,1349,6016,7365,4.89371,761,0.39066,0.61171,4.85702,2257,0.3565,0.60713
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.3,4,True,True,60000,1,1,1,1,1292,1762,3054,1948,6331,8279,4.83026,623,0.46182,0.60378,4.75591,2074,0.34475,0.59449
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.3,5,True,True,60000,1,1,1,1,635,1328,1963,1181,4823,6004,4.87029,598,0.50635,0.60879,4.82962,1803,0.37383,0.6037
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.0,1,True,True,60000,1,1,1,1,1177,2045,3222,1323,7537,8860,4.90213,571,0.43159,0.61277,4.84419,2604,0.3455,0.60552
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.0,2,True,True,60000,1,1,1,1,801,1604,2405,1401,5937,7338,4.72742,664,0.42401,0.59093,4.8123,2930,0.33307,0.60154
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.0,3,True,True,60000,1,1,1,1,959,2409,3368,1566,8797,10363,4.84122,674,0.46196,0.60515,4.78288,4107,0.28992,0.59786
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.0,4,True,True,60000,1,1,1,1,771,1931,2702,1522,7199,8721,4.85062,618,0.44111,0.60633,4.72046,2007,0.33805,0.59006
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t0.0,5,True,True,60000,1,1,1,1,833,3866,4699,1459,14166,15625,4.75816,632,0.41524,0.59477,4.74312,2372,0.32949,0.59289
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.4,1,True,True,60000,1,1,1,1,953,1968,2921,1507,7147,8654,4.85484,719,0.47711,0.60686,4.88273,2445,0.3421,0.61034
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.4,2,True,True,60000,1,1,1,1,1152,4943,6095,1574,18161,19735,4.84791,762,0.48412,0.60599,4.86022,5548,0.30549,0.60753
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.4,3,True,True,60000,1,1,1,1,990,2123,3113,1336,7775,9111,4.80962,627,0.46931,0.6012,4.82313,2633,0.33865,0.60289
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.4,4,True,True,60000,1,1,1,1,750,1767,2517,1140,6425,7565,4.86011,764,0.47424,0.60751,4.80244,3098,0.31781,0.6003
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.4,5,True,True,60000,1,1,1,1,1234,2677,3911,1611,9748,11359,4.90678,573,0.50263,0.61335,4.84748,2210,0.34397,0.60593
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.0,1,True,True,60000,1,1,1,1,721,2012,2733,1157,7472,8629,4.78346,585,0.50562,0.59793,4.78039,2498,0.33431,0.59755
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.0,2,True,True,60000,1,1,1,1,823,2097,2920,1463,7759,9222,4.8733,632,0.47988,0.60916,4.89233,2124,0.38291,0.61154
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.0,3,True,True,60000,1,1,1,1,1013,1545,2558,1317,5547,6864,4.88045,676,0.46206,0.61006,4.81198,2584,0.33303,0.6015
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.0,4,True,True,60000,1,1,1,1,1385,4599,5984,1068,16887,17955,4.8524,544,0.50936,0.60655,4.80219,4828,0.2859,0.60027
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t1.0,5,True,True,60000,1,1,1,1,715,1336,2051,1328,4882,6210,4.87136,628,0.47289,0.60892,4.92627,1824,0.37362,0.61578
